epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8576.44,1.06975,0.70266,1.10483,0.81108,0.58703,0.66976,0.4411,0.94557,0.59216,0.97897,0.005842,0.005842,0.005842
44,8756.17,1.06993,0.70217,1.10049,0.81591,0.5844,0.67066,0.44116,0.9445,0.59091,0.97839,0.005743,0.005743,0.005743
45,8936.57,1.07534,0.70506,1.09876,0.81572,0.58601,0.67112,0.44166,0.94358,0.59021,0.97804,0.005644,0.005644,0.005644
46,9116.02,1.07015,0.70303,1.09528,0.81811,0.58625,0.67166,0.44234,0.94248,0.58912,0.97743,0.005545,0.005545,0.005545
47,9296.01,1.07427,0.70477,1.09582,0.81619,0.5871,0.67192,0.44252,0.94214,0.58799,0.97705,0.005446,0.005446,0.005446
48,9474.93,1.07136,0.70202,1.08855,0.814,0.58836,0.67243,0.44308,0.94156,0.58759,0.97654,0.005347,0.005347,0.005347
49,9655.04,1.06856,0.69846,1.08659,0.80793,0.59171,0.6729,0.44379,0.94158,0.58748,0.97618,0.005248,0.005248,0.005248
50,9834.32,1.06431,0.69711,1.0863,0.80688,0.59265,0.67327,0.44441,0.94185,0.58751,0.97591,0.005149,0.005149,0.005149
51,10016.2,1.06074,0.69262,1.08174,0.80766,0.59271,0.67331,0.44454,0.94189,0.58752,0.97563,0.00505,0.00505,0.00505
52,10196.4,1.05925,0.69365,1.08034,0.80795,0.59317,0.6734,0.44523,0.94195,0.58765,0.97538,0.004951,0.004951,0.004951
53,10375.8,1.0579,0.68763,1.07714,0.80739,0.59378,0.67375,0.44579,0.94197,0.5875,0.97499,0.004852,0.004852,0.004852
54,10555.8,1.05929,0.69245,1.07713,0.81208,0.59199,0.67408,0.44632,0.94188,0.58706,0.9747,0.004753,0.004753,0.004753
55,10732.8,1.05563,0.68771,1.07438,0.8161,0.59157,0.67461,0.44645,0.94224,0.58701,0.97438,0.004654,0.004654,0.004654
56,10908.7,1.0521,0.68269,1.07286,0.81409,0.59248,0.67475,0.44681,0.94234,0.5869,0.97396,0.004555,0.004555,0.004555
57,11085.3,1.04737,0.68028,1.06745,0.8146,0.5934,0.67516,0.44715,0.94243,0.587,0.97367,0.004456,0.004456,0.004456
58,11261.4,1.04663,0.6737,1.06661,0.81355,0.59419,0.67532,0.4474,0.94283,0.58684,0.97333,0.004357,0.004357,0.004357
59,11437.8,1.043,0.67534,1.06515,0.81214,0.59418,0.67561,0.44735,0.94314,0.58717,0.97309,0.004258,0.004258,0.004258
60,11613.8,1.04607,0.67559,1.06624,0.81376,0.59398,0.67594,0.44796,0.94358,0.5873,0.97281,0.004159,0.004159,0.004159
61,11790,1.04152,0.67196,1.06,0.81565,0.59277,0.67616,0.44826,0.94374,0.58731,0.97241,0.00406,0.00406,0.00406
62,11966.2,1.03575,0.66708,1.05965,0.8189,0.59184,0.67656,0.4485,0.9439,0.58741,0.97198,0.003961,0.003961,0.003961
63,12142.5,1.036,0.6652,1.05887,0.81838,0.59231,0.67696,0.44891,0.94421,0.58771,0.97149,0.003862,0.003862,0.003862
64,12318.8,1.03457,0.66278,1.05747,0.81657,0.59334,0.67709,0.44931,0.94416,0.58788,0.971,0.003763,0.003763,0.003763
65,12495,1.03484,0.66487,1.05539,0.81305,0.59487,0.67757,0.44975,0.94437,0.58814,0.97061,0.003664,0.003664,0.003664
