                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.74511,                0.44361,                0.86293,                0.82825,                 0.6854,                0.76796,                0.54928,                 0.8129,                0.49133,                0.87392,                0.00307,                0.00307,                0.00307
                     37,                0.74079,                0.43931,                0.86155,                0.85678,                0.67493,                0.76899,                0.55094,                0.80635,                0.48713,                0.87233,               0.002872,               0.002872,               0.002872
                     38,                0.73526,                0.43469,                0.85987,                0.85358,                0.68101,                0.77001,                 0.5513,                0.80949,                0.48775,                0.87346,               0.002674,               0.002674,               0.002674
                     39,                0.72866,                0.42968,                0.85949,                0.84931,                0.68374,                0.77409,                0.55297,                0.80948,                0.48586,                0.87329,               0.002476,               0.002476,               0.002476
                     40,                0.72949,                0.42057,                0.85294,                0.84747,                0.67695,                0.76872,                0.55103,                0.81202,                0.48773,                 0.8735,               0.002278,               0.002278,               0.002278
                     41,                0.72014,                0.41379,                0.85026,                0.85088,                0.67903,                0.77207,                0.55172,                0.81037,                0.48721,                0.87306,                0.00208,                0.00208,                0.00208
                     42,                0.71494,                0.40875,                 0.8484,                0.85416,                0.67984,                0.77318,                0.55276,                0.80552,                0.48467,                0.87214,               0.001882,               0.001882,               0.001882
                     43,                0.70732,                0.40339,                0.84765,                0.84917,                0.67705,                0.76787,                 0.5493,                0.80563,                0.48845,                0.87132,               0.001684,               0.001684,               0.001684
                     44,                 0.7013,                0.39831,                0.84627,                0.84552,                0.67978,                0.77044,                0.55158,                0.80427,                0.48627,                0.87148,               0.001486,               0.001486,               0.001486
                     45,                0.69197,                0.39409,                0.84358,                0.84124,                0.68242,                0.76899,                 0.5508,                0.80658,                0.48711,                0.87207,               0.001288,               0.001288,               0.001288
                     46,                0.68403,                0.38562,                0.84175,                0.85473,                0.67764,                0.76934,                0.55207,                0.80746,                0.48696,                0.87304,                0.00109,                0.00109,                0.00109
                     47,                0.67641,                0.38094,                 0.8395,                0.84772,                0.67974,                0.76812,                0.55101,                0.80634,                0.48586,                0.87237,               0.000892,               0.000892,               0.000892
                     48,                0.67078,                 0.3756,                0.83696,                0.83966,                0.68445,                0.76999,                0.55234,                0.80584,                0.48567,                0.87147,               0.000694,               0.000694,               0.000694
                     49,                0.66226,                0.37082,                 0.8357,                0.84182,                0.68189,                 0.7696,                0.55209,                0.80746,                0.48536,                0.87225,               0.000496,               0.000496,               0.000496
